Rank r    Bytes before   Bytes after    Compression ratio       
1         68700          45396          1.51334919376156
5         68700          50627          1.3569834278152
10        68700          54116          1.2694951585483
50        68700          64119          1.07144528142984
60        68700          65252          1.05284129222093
70        68700          65890          1.04264683563515
80        68700          66639          1.03092783505155
90        68700          67190          1.02247358237833
100       68700          67510          1.01762701821952
200       68700          70961          0.968137427601077
300       68700          72514          0.947403260060126
400       68700          72451          0.948227077611075
500       68700          71749          0.95750463421093
600       68700          71402          0.962157922747262
700       68700          71280          0.963804713804714
800       68700          71245          0.96427819496105
900       68700          71194          0.964968958058263
1000      68700          71132          0.965810043299781
1200      68700          68700          1.0
1280      68700          68700          1.0
