Rank r    Bytes before   Bytes after    Compression ratio
1         600705         145098         4.1399950378365
5         600705         228112         2.63337746370204
10        600705         282775         2.12432145698877
50        600705         430796         1.39440709755894
100       600705         500981         1.1990574492845
200       600705         562614         1.06770361206795
300       600705         590809         1.01674991410083
400       600705         605241         0.992505464765275
500       600705         610940         0.983247127377484
600       600705         611059         0.983055646017815
700       600705         607510         0.988798538295666
800       600705         603076         0.99606848888034
900       600705         601016         0.999482542894033
1000      600705         600794         0.999851862701691
1280      600705         600760         0.999908449297556
